PCA Explained Variance Report (Combined Dataset):
Total Samples: 3565
Total Features (landmarks * dimensions): 198
Number of PCs Calculated: 198

PC: var, overall
PC169: 0.0%, 100.0%
PC170: 0.0%, 100.0%
PC171: 0.0%, 100.0%
PC172: 0.0%, 100.0%
PC173: 0.0%, 100.0%
PC174: 0.0%, 100.0%
PC175: 0.0%, 100.0%
PC176: 0.0%, 100.0%
PC177: 0.0%, 100.0%
PC178: 0.0%, 100.0%
PC179: 0.0%, 100.0%
PC180: 0.0%, 100.0%
PC181: 0.0%, 100.0%
PC182: 0.0%, 100.0%
PC183: 0.0%, 100.0%
PC184: 0.0%, 100.0%
PC185: 0.0%, 100.0%
PC186: 0.0%, 100.0%
PC187: 0.0%, 100.0%
PC188: 0.0%, 100.0%
PC189: 0.0%, 100.0%
PC190: 0.0%, 100.0%
PC191: 0.0%, 100.0%
PC192: 0.0%, 100.0%
PC193: 0.0%, 100.0%
PC194: 0.0%, 100.0%
PC195: 0.0%, 100.0%
PC196: 0.0%, 100.0%
PC197: 0.0%, 100.0%
PC198: 0.0%, 100.0%
